Symbol	Full Name	Summary
SYN2	synapsin II 	This gene is a member of the synapsin gene family. Synapsins encode neuronal phosphoproteins which associate with the cytoplasmic surface of synaptic vesicles. Family members are characterized by common protein domains, and they are implicated in synaptogenesis and the modulation of neurotransmitter release, suggesting a potential role in several neuropsychiatric diseases. This member of the synapsin family encodes a neuron-specific phosphoprotein that selectively binds to small synaptic vesicles in the presynaptic nerve terminal. Polymorphisms in this gene are associated with abnormal presynaptic function and related neuronal disorders, including autism, epilepsy, bipolar disorder and schizophrenia. Alternative splicing of this gene results in multiple transcript variants. The tissue inhibitor of metalloproteinase 4 gene is located within an intron of this gene and is transcribed in the opposite direction. [provided by RefSeq, Feb 2014].
IL5	interleukin 5 	This gene encodes a cytokine that acts as a growth and differentiation factor for both B cells and eosinophils. The encoded cytokine plays a major role in the regulation of eosinophil formation, maturation, recruitment and survival. The increased production of this cytokine may be related to pathogenesis of eosinophil-dependent inflammatory diseases. This cytokine functions by binding to its receptor, which is a heterodimer, whose beta subunit is shared with the receptors for interleukine 3 (IL3) and colony stimulating factor 2 (CSF2/GM-CSF). This gene is located on chromosome 5 within a cytokine gene cluster which includes interleukin 4 (IL4), interleukin 13 (IL13), and CSF2 . This gene, IL4, and IL13 may be regulated coordinately by long-range regulatory elements spread over 120 kilobases on chromosome 5q31. [provided by RefSeq, Jul 2013].
SPHK2	sphingosine kinase 2 	This gene encodes one of two sphingosine kinase isozymes that catalyze the phosphorylation of sphingosine into sphingosine 1-phosphate. Sphingosine 1-phosphate mediates many cellular processes including migration, proliferation and apoptosis, and also plays a role in several types of cancer by promoting angiogenesis and tumorigenesis. The encoded protein may play a role in breast cancer proliferation and chemoresistance. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Aug 2011].
FKRP	fukutin related protein 	This gene encodes a protein which is targeted to the medial Golgi apparatus and is necessary for posttranslational modification of dystroglycan. Mutations in this gene have been associated with congenital muscular dystrophy, cognitive disability, and cerebellar cysts. Several alternatively spliced transcript variants of this gene have been described, but the full-length nature of some of these variants has not been determined. [provided by RefSeq, Oct 2008].
MED12L	mediator complex subunit 12L 	The protein encoded by this gene is part of the Mediator complex, which is involved in transcriptional coactivation of nearly all RNA polymerase II-dependent genes. The Mediator complex links gene-specific transcriptional activators with the basal transcription machinery. [provided by RefSeq, May 2010].
TBX6	T-box transcription factor 6 	This gene is a member of a phylogenetically conserved family of genes that share a common DNA-binding domain, the T-box. T-box genes encode transcription factors involved in the regulation of developmental processes. Knockout studies in mice indicate that this gene is important for specification of paraxial mesoderm structures. [provided by RefSeq, Aug 2008].
ACP1	acid phosphatase 1 	The product of this gene belongs to the phosphotyrosine protein phosphatase family of proteins. It functions as an acid phosphatase and a protein tyrosine phosphatase by hydrolyzing protein tyrosine phosphate to protein tyrosine and orthophosphate. This enzyme also hydrolyzes orthophosphoric monoesters to alcohol and orthophosphate. This gene is genetically polymorphic, and three common alleles segregating at the corresponding locus give rise to six phenotypes. Each allele appears to encode at least two electrophoretically different isozymes, Bf and Bs, which are produced in allele-specific ratios. Multiple alternatively spliced transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Aug 2008].
NPC2	NPC intracellular cholesterol transporter 2 	This gene encodes a protein containing a lipid recognition domain. The encoded protein may function in regulating the transport of cholesterol through the late endosomal/lysosomal system. Mutations in this gene have been associated with Niemann-Pick disease, type C2 and frontal lobe atrophy. [provided by RefSeq, Jul 2008].
UMPS	uridine monophosphate synthetase 	This gene encodes a uridine 5'-monophosphate synthase. The encoded protein is a bifunctional enzyme that catalyzes the final two steps of the de novo pyrimidine biosynthetic pathway. The first reaction is carried out by the N-terminal enzyme orotate phosphoribosyltransferase which converts orotic acid to orotidine-5'-monophosphate. The terminal reaction is carried out by the C-terminal enzyme OMP decarboxylase which converts orotidine-5'-monophosphate to uridine monophosphate. Defects in this gene are the cause of hereditary orotic aciduria. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Mar 2010].
HIRA	histone cell cycle regulator 	This gene encodes a histone chaperone that preferentially places the variant histone H3.3 in nucleosomes. Orthologs of this gene in yeast, flies, and plants are necessary for the formation of transcriptionally silent heterochomatin. This gene plays an important role in the formation of the senescence-associated heterochromatin foci. These foci likely mediate the irreversible cell cycle changes that occur in senescent cells. It is considered the primary candidate gene in some haploinsufficiency syndromes such as DiGeorge syndrome, and insufficient production of the gene may disrupt normal embryonic development. [provided by RefSeq, Jul 2008].
EXOSC8	exosome component 8 	This gene encodes a 3'-5' exoribonuclease that specifically interacts with mRNAs containing AU-rich elements. The encoded protein is part of the exosome complex that is important for the degradation of numerous RNA species. A pseudogene of this gene is found on chromosome 6. [provided by RefSeq, Mar 2009].
KIF24	kinesin family member 24 	This gene encodes a member of the kinesin superfamily of microtubule-based motor proteins which are involved in the intracellular transport of membranous organelles, protein complexes, and mRNAs. They also play critical roles in mitosis, morphogenesis, and signal transduction. The encoded protein contains an N-terminal sterile alpha motif (SAM) domain and an ATP-binding kinesin motor domain. It binds centriolar coiled coil protein 110 and centrosomal protein 97 and localizes to the mother centriole to regulate ciliogenesis by controlling microtubule polymerization. [provided by RefSeq, Mar 2017].
PEX16	peroxisomal biogenesis factor 16 	The protein encoded by this gene is an integral peroxisomal membrane protein. An inactivating nonsense mutation localized to this gene was observed in a patient with Zellweger syndrome of the complementation group CGD/CG9. Expression of this gene product morphologically and biochemically restores the formation of new peroxisomes, suggesting a role in peroxisome organization and biogenesis. Alternative splicing has been observed for this gene and two variants have been described. [provided by RefSeq, Jul 2008].
TBC1D4	TBC1 domain family member 4 	This gene is a member of the Tre-2/BUB2/CDC16 domain family. The protein encoded by this gene is a Rab-GTPase-activating protein, and contains two phopshotyrosine-binding domains (PTB1 and PTB2), a calmodulin-binding domain (CBD), a Rab-GTPase domain, and multiple AKT phosphomotifs. This protein is thought to play an important role in glucose homeostasis by regulating the insulin-dependent trafficking of the glucose transporter 4 (GLUT4), important for removing glucose from the bloodstream into skeletal muscle and fat tissues. Reduced expression of this gene results in an increase in GLUT4 levels at the plasma membrane, suggesting that this protein is important in intracellular retention of GLUT4 under basal conditions. When exposed to insulin, this protein is phosphorylated, dissociates from GLUT4 vesicles, resulting in increased GLUT4 at the cell surface, and enhanced glucose transport. Phosphorylation of this protein by AKT is required for proper translocation of GLUT4 to the cell surface. Individuals homozygous for a mutation in this gene are at higher risk for type 2 diabetes and have higher levels of circulating glucose and insulin levels after glucose ingestion. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Aug 2015].
